YEILD_STRENGTH,ULTIMATE_TENSILE_STRENGTH,GRADE,FXTEMP_MAX,FXTEMP_MIN,FXTEMP_PCTON,FXTEMP_PCTUNDER,CTEMP_MAX,CTEMP_PCTON,AL,CE,MN,V
398,512,HHTA1B          ,867.75,829.875,98.945,0.211,628.944,94.093,0.038,0.395,1.38,0.047
471,568,HHTA1B          ,877.25,843.875,93.04,0,652.837,91.636,0.044,0.385,1.32,0.041
403,526,HHTA1B          ,878.25,838.125,90.11,0,666.836,95.055,0.038,0.39,1.3,0.043
452,562,HHTA1B          ,866.75,830.375,97.645,0.181,649.257,96.39,0.04,0.401,1.37,0.042
400,529,HHTA1B          ,873.75,836,96.855,0,647.498,93.082,0.043,0.398,1.33,0.043
406,531,HHTA1B          ,866.5,837.25,99.297,0,650.821,81.903,0.037,0.41,1.36,0.044
321,469,HDR09C          ,863.125,836.125,93.458,0,671.08,98.131,0.045,0.323,0.96,0.001
446,557,HHTA1B          ,878.875,837.625,93.923,0,645.065,93.132,0.045,0.389,1.33,0.043
458,556,HHTA1B          ,874.375,838.25,76.441,0,641.652,93.233,0.045,0.397,1.39,0.049
360,489,HDR09C          ,885.75,803.625,89.072,0.206,632.601,92.843,0.045,0.358,1.08,0.001
411,523,HHTA1B          ,869.875,828.5,93.247,0.519,645.024,98.45,0.038,0.395,1.38,0.047
323,471,HDR09C          ,871.375,832.875,93.927,0,690.25,90.688,0.045,0.328,0.99,0.001
410,534,HHTA1B          ,866.375,843.5,97.85,0,688.818,96.774,0.045,0.393,1.35,0.043
379,507,HHTA1B          ,864.625,842.5,100,0,686.883,43.548,0.045,0.393,1.35,0.043
403,533,HHTA1B          ,860.875,832.875,94.444,5.556,681.065,85.648,0.04,0.409,1.4,0.043
322,471,HDR09C          ,870.875,843.125,63.88,0,662.442,91.694,0.045,0.35,1.06,0.001
383,513,HHTA1B          ,871.375,828.25,87.903,7.661,685.589,44.177,0.043,0.398,1.33,0.043
401,526,HHTA1B          ,876.875,832.75,95.37,0.926,679.866,74.074,0.037,0.397,1.33,0.043
433,551,HHTA1B          ,873.625,836.875,89.516,0,689.23,98.387,0.044,0.385,1.32,0.041
392,526,HHTA1B          ,860.625,821.75,75.926,24.074,686.865,75.463,0.04,0.394,1.33,0.045
403,536,HHTA1B          ,866.75,836.75,96.721,0,687.035,62.842,0.037,0.397,1.33,0.043
475,576,HHTA1B          ,874,819.875,96.812,0.145,634.301,87.391,0.038,0.396,1.39,0.043
389,509,HHTA1B          ,867.5,832.375,97.458,1.412,630.826,85.593,0.038,0.395,1.38,0.047
413,527,HHTA1B          ,865.125,840.75,99.627,0,679.577,87.407,0.045,0.396,1.32,0.041
